Player,team,position,selected_by_percent,starts_per_90,total_points,bonus,points_per_game,expected_goals_conceded,goals_conceded,clean_sheets_per_90,expected_goals,goals_scored,expected_goal_involvements_per_90,value_season,value_season,value_form,now_cost,clean_sheets,yellow_cards,%of_team_points,influence,creativity,threat,penalties_order,corners_and_indirect_freekicks_order,performance_xG_off
Alex Iwobi,Everton,Midfielder,1.0,1.02,97,6,3.2,52.14,42,0.24,1.95,1,0.18,19.0,19.0,0.4,5.1,7,2,9.661354581673306,0.47435437589670015,0.5198153409090909,0.17725752508361203,,3.0,-0.95
Demarai Gray,Everton,Midfielder,0.6,0.99,82,4,2.9,43.64,36,0.21,5.33,4,0.37,15.8,15.8,0.4,5.2,5,2,8.167330677290837,0.34433285509325684,0.4029119318181818,0.420066889632107,3.0,1.0,-1.33
Tom Davies,Everton,Midfielder,0.0,0.72,18,0,1.0,11.83,9,0.18,1.3,0,0.27,3.7,3.7,0.1,4.9,1,3,1.7928286852589643,0.04465566714490674,0.03252840909090909,0.06421404682274247,,,-1.3
Dwight McNeil,Everton,Midfielder,0.2,1.02,75,7,2.7,37.02,32,0.15,1.32,3,0.25,14.7,14.7,0.3,5.1,3,5,7.470119521912351,0.3676470588235294,0.3786221590909091,0.1846153846153846,,2.0,1.68
James Garner,Everton,Midfielder,0.0,0.0,7,0,0.9,3.58,3,0.0,0.08,0,0.06,1.6,1.6,0.2,4.5,0,1,0.697211155378486,0.020982783357245335,0.005326704545454546,0.024080267558528427,,,-0.08
Amadou Onana,Everton,Midfielder,0.2,1.06,67,2,2.4,44.07,34,0.33,2.86,1,0.18,14.0,14.0,0.4,4.8,8,7,6.673306772908366,0.26273314203730275,0.17848011363636365,0.18127090301003343,,,-1.8599999999999999
Idrissa Gueye,Everton,Midfielder,0.1,1.12,52,1,2.1,37.11,31,0.28,0.27,0,0.04,10.8,10.8,0.3,4.8,6,4,5.179282868525896,0.2944763271162123,0.10603693181818183,0.030100334448160532,,,-0.27
Isaac Price,Everton,Midfielder,0.0,0.0,0,0,0.0,0.33,0,0.0,0.0,0,0.06,0.0,0.0,0.0,4.5,0,1,0.0,0.00860832137733142,0.011079545454545455,0.0,,,0.0
Tom Cairney,Fulham,Midfielder,0.0,0.17,26,0,1.1,11.74,7,0.0,0.67,0,0.33,5.5,5.5,0.1,4.7,0,2,2.220324508966695,0.078012912482066,0.12336647727272727,0.09632107023411371,,,-0.67
Nathaniel Chalobah,Fulham,Midfielder,0.1,8.18,1,0,0.2,6.73,4,0.0,0.09,0,0.74,0.2,0.2,0.0,4.4,0,0,0.08539709649871904,0.004124820659971305,0.0004261363636363636,0.011371237458193979,,,-0.09
Neeskens Kebano,Fulham,Midfielder,0.0,1.14,35,0,2.9,11.83,9,0.38,0.48,0,0.16,6.5,6.5,0.0,5.4,3,0,2.9888983774551665,0.0941535150645624,0.10816761363636365,0.07090301003344482,4.0,,-0.48
Bobby De Cordova-Reid,Fulham,Midfielder,0.1,1.12,80,3,2.9,40.99,34,0.33,3.76,4,0.21,14.8,14.8,0.3,5.4,8,7,6.831767719897523,0.31276901004304164,0.2090198863636364,0.3204013377926421,,,0.2400000000000002
Harrison Reed,Fulham,Midfielder,0.6,1.12,78,8,2.8,43.73,36,0.32,1.39,2,0.12,18.1,18.1,0.7,4.3,8,5,6.660973526900086,0.2984218077474892,0.2696022727272728,0.13444816053511705,,,0.6100000000000001
Harry Wilson,Fulham,Midfielder,0.1,0.81,26,0,1.3,9.51,5,0.2,1.16,0,0.28,4.6,4.6,0.2,5.7,1,1,2.220324508966695,0.037482065997130554,0.04261363636363637,0.05284280936454849,3.0,,-1.16
Josh Onomah,Fulham,Midfielder,0.1,0.0,2,0,1.0,0.61,2,0.0,0.0,0,0.0,0.5,0.5,0.0,4.3,0,0,0.1707941929974381,0.001793400286944046,0.0004261363636363636,0.0,,,0.0
João Palhinha Gonçalves,Fulham,Midfielder,0.3,1.01,70,5,2.7,41.55,30,0.31,2.3,3,0.1,14.3,14.3,0.4,4.9,8,10,5.977796754910333,0.4103299856527977,0.07414772727272728,0.1906354515050167,,,0.7000000000000002
